"부채 보유","30~39세","경상소득(전년도) (만원)",7832,6618,-
"부채 보유","30~39세","자산 (만원)",41869,31830,100.0
"부채 보유","30~39세","부채 (만원)",15786,10732,100.0
"부채 보유","30~39세","원리금상환액(전년도) (만원)",2127,997,94.5
"부채 보유","30~39세","순자산액 (만원)",26084,17310,-
"부채 보유","40~49세","가구분포 (%)",13.7,-,-
"부채 보유","40~49세","가구원수 (명)",3.1,-,-
"부채 보유","40~49세","가구주 연령 (세)",44.4,-,-
"부채 보유","40~49세","경상소득(전년도) (만원)",9695,8257,-
"부채 보유","40~49세","자산 (만원)",70726,44620,100.0
"부채 보유","40~49세","부채 (만원)",19482,11000,100.0
"부채 보유","40~49세","원리금상환액(전년도) (만원)",2610,1321,92.4
"부채 보유","40~49세","순자산액 (만원)",51244,30032,-
"부채 보유","50~59세","가구분포 (%)",14.9,-,-
"부채 보유","50~59세","가구원수 (명)",2.8,-,-
"부채 보유","50~59세","가구주 연령 (세)",54.6,-,-
"부채 보유","50~59세","경상소득(전년도) (만원)",10023,8553,-
"부채 보유","50~59세","자산 (만원)",76930,47400,100.0
"부채 보유","50~59세","부채 (만원)",16490,7500,100.0
"부채 보유","50~59세","원리금상환액(전년도) (만원)",2192,1075,87.6
"부채 보유","50~59세","순자산액 (만원)",60440,35656,-
"부채 보유","60세 이상","가구분포 (%)",18.3,-,-
"부채 보유","60세 이상","가구원수 (명)",2.2,-,-
"부채 보유","60세 이상","가구주 연령 (세)",67.9,-,-
"부채 보유","60세 이상","경상소득(전년도) (만원)",7585,5832,-
"부채 보유","60세 이상","자산 (만원)",90674,46730,100.0
"부채 보유","60세 이상","부채 (만원)",14426,5000,100.0
"부채 보유","60세 이상","원리금상환액(전년도) (만원)",1447,840,74.8
"부채 보유","60세 이상","순자산액 (만원)",76248,37480,-
"부채 보유","65세 이상","가구분포 (%)",11.2,-,-
"부채 보유","65세 이상","가구원수 (명)",2.1,-,-
"부채 보유","65세 이상","가구주 연령 (세)",71.7,-,-
"부채 보유","65세 이상","경상소득(전년도) (만원)",6478,4825,-
"부채 보유","65세 이상","자산 (만원)",89554,44021,100.0
"부채 보유","65세 이상","부채 (만원)",12820,4000,100.0
"부채 보유","65세 이상","원리금상환액(전년도) (만원)",1215,720,69.2
"부채 보유","65세 이상","순자산액 (만원)",76735,36385,-
"부채 미보유","전체","가구분포 (%)",41.1,-,-
"부채 미보유","전체","가구원수 (명)",1.9,-,-
"부채 미보유","전체","가구주 연령 (세)",59.7,-,-
"부채 미보유","전체","경상소득(전년도) (만원)",5683,3898,-
"부채 미보유","전체","자산 (만원)",34746,17060,100.0
"부채 미보유","전체","부채 (만원)",0,-,-
"부채 미보유","전체","원리금상환액(전년도) (만원)",334,600,10.5
"부채 미보유","전체","순자산액 (만원)",34746,17060,-
"부채 미보유","39세 이하","가구분포 (%)",6.5,-,-
"부채 미보유","39세 이하","가구원수 (명)",1.6,-,-
"부채 미보유","39세 이하","가구주 연령 (세)",32.1,-,-
"부채 미보유","39세 이하","경상소득(전년도) (만원)",5680,4607,-
"부채 미보유","39세 이하","자산 (만원)",18476,8900,100.0
"부채 미보유","39세 이하","부채 (만원)",0,-,-
"부채 미보유","39세 이하","원리금상환액(전년도) (만원)",508,1000,14.9
"부채 미보유","39세 이하","순자산액 (만원)",18476,8900,-
"부채 미보유","29세 이하","가구분포 (%)",2.0,-,-
"부채 미보유","29세 이하","가구원수 (명)",1.2,-,-
"부채 미보유","29세 이하","가구주 연령 (세)",26.7,-,-
"부채 미보유","29세 이하","경상소득(전년도) (만원)",4096,3521,-
"부채 미보유","29세 이하","자산 (만원)",8890,4150,100.0
"부채 미보유","29세 이하","부채 (만원)",0,-,-
"부채 미보유","29세 이하","원리금상환액(전년도) (만원)",364,2048,12.8
"부채 미보유","29세 이하","순자산액 (만원)",8890,4150,-
"부채 미보유","30~39세","가구분포 (%)",4.5,-,-
"부채 미보유","30~39세","가구원수 (명)",1.8,-,-
"부채 미보유","30~39세","가구주 연령 (세)",34.5,-,-
"부채 미보유","30~39세","경상소득(전년도) (만원)",6390,5167,-
"부채 미보유","30~39세","자산 (만원)",22776,12810,100.0
"부채 미보유","30~39세","부채 (만원)",0,-,-
"부채 미보유","30~39세","원리금상환액(전년도) (만원)",573,495,15.9
"부채 미보유","30~39세","순자산액 (만원)",22776,12810,-
"부채 미보유","40~49세","가구분포 (%)",4.9,-,-
"부채 미보유","40~49세","가구원수 (명)",2.5,-,-
"부채 미보유","40~49세","가구주 연령 (세)",44.7,-,-
"부채 미보유","40~49세","경상소득(전년도) (만원)",8326,6253,-
"부채 미보유","40~49세","자산 (만원)",40459,23868,100.0
"부채 미보유","40~49세","부채 (만원)",0,-,-
"부채 미보유","40~49세","원리금상환액(전년도) (만원)",811,770,20.7
"부채 미보유","40~49세","순자산액 (만원)",40459,23868,-
"부채 미보유","50~59세","가구분포 (%)",7.4,-,-
"부채 미보유","50~59세","가구원수 (명)",2.4,-,-
"부채 미보유","50~59세","가구주 연령 (세)",54.9,-,-
"부채 미보유","50~59세","경상소득(전년도) (만원)",8187,6110,-
"부채 미보유","50~59세","자산 (만원)",44456,24722,100.0
"부채 미보유","50~59세","부채 (만원)",0,-,-
"부채 미보유","50~59세","원리금상환액(전년도) (만원)",351,670,12.6
"부채 미보유","50~59세","순자산액 (만원)",44456,24722,-
"부채 미보유","60세 이상","가구분포 (%)",22.3,-,-
"부채 미보유","60세 이상","가구원수 (명)",1.8,-,-
"부채 미보유","60세 이상","가구주 연령 (세)",72.7,-,-
"부채 미보유","60세 이상","경상소득(전년도) (만원)",4275,2696,-
"부채 미보유","60세 이상","자산 (만원)",34990,17376,100.0
"부채 미보유","60세 이상","부채 (만원)",0,-,-
"부채 미보유","60세 이상","원리금상환액(전년도) (만원)",172,341,6.2
"부채 미보유","60세 이상","순자산액 (만원)",34990,17376,-
"부채 미보유","65세 이상","가구분포 (%)",17.5,-,-
"부채 미보유","65세 이상","가구원수 (명)",1.7,-,-
"부채 미보유","65세 이상","가구주 연령 (세)",75.6,-,-
"부채 미보유","65세 이상","경상소득(전년도) (만원)",3611,2297,-
"부채 미보유","65세 이상","자산 (만원)",31763,15470,100.0
"부채 미보유","65세 이상","부채 (만원)",0,-,-
"부채 미보유","65세 이상","원리금상환액(전년도) (만원)",126,324,5.2
"부채 미보유","65세 이상","순자산액 (만원)",31763,15470,-
